host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month,n_bathrooms,bath_shared,emailhost_verification,phonehost_verification,photographerhost_verification,work_emailhost_verification,neighbourhood_cleansed_Arbutus Ridge,neighbourhood_cleansed_Downtown,neighbourhood_cleansed_Downtown Eastside,neighbourhood_cleansed_Dunbar Southlands,neighbourhood_cleansed_Fairview,neighbourhood_cleansed_Grandview-Woodland,neighbourhood_cleansed_Hastings-Sunrise,neighbourhood_cleansed_Kensington-Cedar Cottage,neighbourhood_cleansed_Kerrisdale,neighbourhood_cleansed_Killarney,neighbourhood_cleansed_Kitsilano,neighbourhood_cleansed_Marpole,neighbourhood_cleansed_Mount Pleasant,neighbourhood_cleansed_Oakridge,neighbourhood_cleansed_Renfrew-Collingwood,neighbourhood_cleansed_Riley Park,neighbourhood_cleansed_Shaughnessy,neighbourhood_cleansed_South Cambie,neighbourhood_cleansed_Strathcona,neighbourhood_cleansed_Sunset,neighbourhood_cleansed_Victoria-Fraserview,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Point Grey,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_response_time_Unspecified,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,alarm_amenitie,dryer_amenitie,parking_amenitie,water_amenitie,coffee_amenitie,material_amenitie,grill_amenitie,wine_amenitie,backyard_amenitie,pool_amenitie
2013-07-05,True,True,True,49.21569,-123.12049,6,3.0,3.0,221.0,2,1125,2,2,1125,1125,2.0,1125.0,17,43,62,115,41,41,2,2022-04-24,2023-03-12,4.73,4.73,4.83,4.54,4.8,4.88,4.63,True,True,3.78,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2013-09-16,True,True,True,49.27227,-123.16431,6,3.0,3.0,375.0,3,60,3,3,1125,1125,3.0,1125.0,17,18,18,18,27,26,3,2020-04-28,2023-03-07,4.96,5.0,5.0,5.0,5.0,5.0,4.96,True,False,0.77,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2020-03-01,False,True,True,49.28836,-123.12415,2,1.0,1.0,188.0,7,1000,1,7,1125,1125,6.6,1125.0,5,7,36,99,125,49,3,2020-03-06,2023-02-20,4.83,4.87,4.76,4.94,4.94,4.98,4.71,True,False,3.4,1.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-07-07,False,True,True,49.23585,-123.03619,1,1.0,1.0,40.0,3,1125,3,3,1125,1125,3.0,1125.0,0,0,0,0,1,0,0,2020-03-05,2020-03-05,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,True,0.03,1.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-18,True,True,True,49.27827,-123.12172,3,1.0,2.0,171.0,2,1125,2,2,1125,1125,2.0,1125.0,3,9,17,40,194,74,3,2020-03-08,2023-03-05,4.84,4.9,4.78,4.87,4.94,4.96,4.73,True,False,5.28,1.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-04-25,False,True,True,49.28985,-123.04998,2,1.0,1.0,77.0,1,1125,1,1,1125,1125,1.0,1125.0,7,13,21,81,73,23,1,2020-03-08,2023-02-18,4.6,4.6,4.47,4.86,4.77,4.74,4.63,True,False,1.99,1.0,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-06-07,False,True,True,49.25676,-123.1171,4,2.0,2.0,285.0,3,1125,3,3,1125,1125,3.0,1125.0,23,45,54,142,0,0,0,1900-01-01,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0.0,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-03-04,False,True,True,49.25141,-123.12737,4,1.0,2.0,169.0,30,1125,30,30,1125,1125,30.0,1125.0,0,0,0,133,0,0,0,1900-01-01,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0.0,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,False,True,True,49.25285,-123.12915,4,1.0,2.0,169.0,30,1125,30,30,1125,1125,30.0,1125.0,0,0,0,133,2,1,0,2021-07-31,2022-05-01,3.0,4.5,4.5,3.0,1.5,5.0,4.5,False,True,0.1,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,False,True,True,49.25291,-123.12936,4,1.0,2.0,169.0,30,1125,30,30,1125,1125,30.0,1125.0,0,0,0,72,1,1,0,2022-08-31,2022-08-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,True,0.15,1.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
